name,latitude,longitude
Angamaly,10.1910284,76.3874109
Areekode,11.2345587,76.049183
Bharananganam,9.7003362,76.7271132
Chalakudy,10.3041869,76.3371037
Elappara,9.6306232,76.9784714
Erattupetta,9.6879884,76.7797651
Kattappana,9.7561717,77.1140611
Koothattukulam,9.8615955,76.5956881
Kunnamkulam,10.6548692,76.09587816
Manjeri,11.1202289,76.1198109
Mukkam,11.3224777,75.9948764
Muvattupuzha,9.9831493,76.5781613
Pala,20.83315395,77.7047967
Pattambi,10.8048616,76.1780161
Peramangalam,10.5745886,76.1621752
Perinthalmanna,10.990946,76.22992369
Perumbavoor,10.1147548,76.4778152
Puthukad,10.12471355,76.27844352
Thiruvambady,11.3611045,76.0095191
Thrissur,10.5270099,76.214621
Vagamon,9.6885988,76.9068551
Adimali,10.0144274,76.9554575
Adoor,9.1581862,76.77326138
Alappuzha,9.5006651,76.41241429
Aluva,10.100414,76.356986
Anachal,10.0235917,77.0379968
Attingal,8.6985965,76.8134401
Ayoor,8.8978612,76.8601206
Bangalore,12.98815675,77.62260004
Chadayamangalam,8.8719144,76.8691239
Changanassery,9.48966745,76.62783425
Changaramkulam,10.7346661,76.0291242
Chengannur,9.3182808,76.6085318
Cherthala,9.6912036,76.3257168
Chinnar,12.3141152,78.002589
Edappal,10.7837932,76.0077904
Ernakulam,9.98408,76.2741457
Ettumanoor,9.6751487,76.5460114
Haripad,9.2777001,76.4631904
Kallar,10.7377746,79.8498494
Kalpetta,11.6136614,76.0851692
Kannur,11.8763836,75.3737973
Kanthalloor,10.2165364,77.1955475
Karunagappalli,9.0652253,76.5446447
Kayamkulam,9.1723603,76.500061
Kilimanoor,8.7703581,76.8809615
Kollam,8.8872399,76.5908768
Kothamangalam,10.13328035,76.73612209
Kottakkal,11.0004806,76.004758
Kottarakkara,9.0055368,76.7832172
Kottayam,9.6287383,76.64553257
Koyilandy,11.4383564,75.696891
Kozhikode,11.2450558,75.7754716
Kozhikode University,11.2929703,75.873629
Kudiyanmala,12.1418926,75.5533349
Kuravilangad,9.7573135,76.5615919
Kuttipuram,9.1425155,76.5308345
Marayoor,10.2757418,77.162036
Mavelikara,9.2504893,76.5402433
Munnar,10.0869959,77.0600915
Mysore,12.3051828,76.6553609
Neyyattinkara,8.38584295,77.06504295
Palakkayam Thattu,12.143059,75.5121016
Palani,10.4511094,77.5154495
Pandalam,9.2251208,76.6781249
Sultan Bathery,11.6631885,76.259553
Taliparamba,12.0994756,75.47057357
Thalassery,11.7538929,75.4923063
Thamarassery,11.4183747,76.01905972
Thiruvalla,9.3867448,76.5762652
Thodupuzha,9.8976798,76.7134225
Trivandrum,8.4882267,76.947551
Udumalaipettai,10.5839,77.25
Vadakara,11.593818,75.5872715
Valanchery,10.8878197,76.0732252
Vattappara,8.5925816,76.9529529
Adivaram,11.4849767,76.0126133
Ambalapuzha,9.3862866,76.3627219
Anchal,8.9292657,76.9065012
Chathannoor,8.8640806,76.7142084
Erumeli,9.4862866,76.8477388
Guruvayoor,10.5925345,76.03392708
Kakkad,11.0366863,75.9370753
Kanjirappally,9.5440324,76.81041661
Kodungallur,10.2276837,76.1971531
Konni,9.2266942,76.8499466
Kozhenchery,9.3369731,76.7064286
Kulathupuzha,8.9065347,77.0564917
Madathara,8.817704,77.0132795
Mananthavady,11.82987555,75.94189342
Mannarkkad,10.9928999,76.45686
Meenangadi,11.6594656,76.1668396
Nedumangad,8.69703865,77.04245411
Padinjarathara,11.6686805,75.96151741
Palakkad,10.78736915,76.47421719
Palode,8.7232574,77.0283918
Paravoor North,10.1367867,76.23227694
Pathanamthitta,9.2780841,76.9737443
Pathanapuram,9.0926952,76.8562962
Peroorkada,8.5397938,76.96566097
Punalur,9.0174612,76.9264764
Ranny,9.3852605,76.7848789
Shoranur,10.7637196,76.272355
Thenmala,8.9652655,77.0699638
Triprayar,10.41710045,76.10611737
Vadanappally,10.4697097,76.0813089
Vythiri,11.5560885,76.038922
Wadakkanchery,10.6027705,76.20258139
Alakode,12.191555,75.4671357
Alathur,10.6458971,76.5436079
Alur,15.42769185,77.25782605
Amrita Hospital,28.425979,77.35584585
Aryanad,8.5795655,77.0843942
Atholy,11.41119255,75.76391437
Charummood,9.184858,76.60409121
Cheruthoni,9.8581974,76.9618039
Chettikulangara,9.22759265,76.5172569
Chingavanam,9.5247631,76.5247268
Chittoor,13.2026484,79.00322534
Choondal,10.6256588,76.0998564
Cochin University,10.0466793,76.3183086
Coimbatore,11.0018115,76.9628425
Edappally,10.0251551,76.3113552
Eramalloor,9.8229307,76.3106548
Gudalur,11.4992417,76.4923903
Idukki,9.8154785,76.99915995
Irinjalakuda,10.3404997,76.2808307
Kaduthuruthy,9.7655057,76.4922324
Kalavoor,9.5705238,76.3286125
Kaliyakkavilai,8.3597245,77.02870915
Kanhangad,12.2906471,75.10740558
Kanyakumari,8.079252,77.5499338
Kasargode,10.56845421,76.19598808
Kattakada,8.5072457,77.0829921
Kazhakkoottam,8.5660255,76.8737867
Kollur,13.8634049,74.8137959
kottiyam,8.8660329,76.6709479
Kulamavu,9.7952426,76.8879338
Kumily,9.6067952,77.1671018
Kundara,8.9602036,76.6782297
Kuttikkanam,9.5823102,76.970999
Kuttiyadi,11.55749112,75.85436837
Kuzhalmannam,10.719429,76.5948525
Mangalore,12.8698101,74.8430082
Mannuthy,10.5369921,76.2640595
Moolamattom,9.7910035,76.8537047
Mundakkayam,9.5368168,76.8855086
Nadathara,10.5081255,76.2692367
Naduvattam,11.4798876,76.5443764
Nagercoil,8.1880471,77.4290492
Nedumbassery South,,
Nedumkandam,9.8412988,77.1530497
Nilakkal,9.08929335,76.70005888
Nilambur,11.2865083,76.2407387
Nilamel,8.8242666,76.8815467
Ooty,11.4126769,76.7030504
Painavu,9.8540061,76.9446486
Pamba,9.478697869,76.38761803
Panamaram,11.7391124,76.0731498
Panjikkal,12.5738257,75.3164242
Pappanamcode,8.4702552,76.9818151
Parassala,8.3428993,77.1547766
Paravur,8.8098891,76.6715303
Pattikkad,11.021187,76.2325798
Payyanur,12.0913951,75.1952774
Peerumedu,9.5719836,76.99640522
Perambra,11.559725,75.7581231
Perikkalloor,11.8628255,76.1492135
Piravom,9.8733689,76.4922683
Ponkunnam,9.564952,76.755683
Ponnani,10.7800691,75.9189338
Pulpally,11.7932652,76.1643871
Salem,11.64696155,78.21069575
Shenkottai,9.02116115,77.22943551
Sullia,12.5576644,75.3907575
Thenkasi,10.5459976,79.5972817
Thottilpalam,11.6766375,75.7785935
Thrippunithura,9.9440256,76.3489858
Tirunelveli,8.797817722,77.81132696
Tirur,10.9166828,75.923986
Udayagiri,14.9383009,79.31135792
Udupi,13.5269784,74.87318787
Vadakkencherry,10.59050745,76.48404945
Vadaserikara,9.34075235,76.83773723
Vaikom,9.7497841,76.3926003
Valakom,9.9806773,76.5204298
Vandiperiyar,9.5729206,77.0918879
Vannappuram,9.990651,76.7906145
Vembayam,8.6365921,76.9382323
Agali,11.1057095,76.6547629
Anaikatti,11.1157344,76.748318
Cherupuzha,11.66983687,76.04032169
Chittarikkal,12.3213171,75.3590275
Konnakad,12.3673364,75.3735851
Odayanchal,12.4014224,75.2021979
Panathur,12.4571904,75.3557324
Poovam,11.9950662,75.6181722
Rajapuram,18.7425032,84.4115447
Vellarikundu,12.2798447,75.34873099
Annamanada,10.2384263,76.3264958
Attukal,8.46979725,76.95551287
Balaramapuram,8.4247979,77.0457835
Hosur,12.7183361,77.8229481
Kalamassery,10.0547254,76.3181545
Kaniyapuram,8.5876645,76.8560703
Mala,23.62277565,78.32702227
Malappuram,11.10684475,76.1099551
Nedumbassery,10.1595172,76.3895183
Niravilpuzha,11.75529805,75.82126593
Ottapalam,10.7732226,76.3772453
Parappanangadi,11.0507863,75.86400025
Pengamuck,10.6764456,76.03148217
Pollachi,10.6588234,77.00873
Poovar,8.3187448,77.0706518
Seetha Mount,11.8410315,76.2014422
Tanur,10.9783391,75.8763569
Thiruvilwamala,10.7318786,76.4282445
Varapuzha,10.0788237,76.2746268
Vellamunda,11.7245202,75.96533498
Vellanad,8.57328625,77.05185728
Vizhinjam,8.3818216,76.9916058
Mallappally,9.4459505,76.655344
Palakkayam,9.53311019,76.77551933
Tiruppur,10.79152665,77.53254663
Azhakiyakavu,9.17001315,76.52561831
chavakkad,10.5243344,76.07993906
Chelachuvadu,9.919292,76.9628876
Cumbum,9.7394057,77.2853013
Kunnamangalam,11.3046779,75.8785617
Mankada,11.0188762,76.1759643
Mankamkuzhy,9.2342047,76.590553
Nenmara,10.59395,76.601439
Neriamangalam,10.0539414,76.7742172
Nirmala City,9.792010858,77.07234291
Pulamanthole,10.9012503,76.1903313
Ramanattukara,11.1780876,75.8656196
Aster Medcity,10.0433916,76.27768743
Manimala,9.4941627,76.7501555
Nedumudy,9.44383,76.4060027
Karette,8.7309363,76.8981382
Marthandam,8.3065018,77.2223116
Thuckalay,8.2583669,77.31118958
Andipatti,9.8033616,77.52690132
Madurai,9.9261153,78.1140983
Theni,9.86925575,77.42229738
Usilampatti,9.9709119,77.7932837
Chengalpattu,12.6840886,79.9836371
Chennai,13.0836939,80.270186
Iritty,11.97731185,75.72316374
Kuthuparamba,11.7669395,75.61518443
Mattannur,11.9307557,75.5712639
Nadavayal,11.7410773,76.119078
Padichira,11.8396351,76.1789133
Pampady,9.5656334,76.6443645
Payyavoor,12.0625114,75.5813475
Puthunagaram,9.948659288,76.24627659
Thalayolaparambu,9.7855581,76.4474906
Thanjavur,10.65903695,79.20142776
Thavalam,13.5377976,78.6686144
Thirunelly,11.9098981,75.994875
Tindivanam,12.2291607,79.6515314
Trichy,10.8071144,78.6880939
Ulliyeri,11.4505991,75.7710373
Velankanni,10.6868771,79.8461807
Villupuram,11.9398285,79.4945645
Wandoor,11.1957415,76.2368755
Arookutty,9.8653102,76.3237204
Arthunkal,9.66114,76.2994454
Chellanam,9.7908599,76.2779086
Cherai,10.1406994,76.1935753
Kangayam,11.31638143,77.6703729
Kannamaly,9.87533955,76.26252031
Karur,10.8217671,78.38286541
Njarackal,10.0420124,76.2192723
Koodankulam,8.1938559,77.7058431
Athur,13.2501245,80.1473299
Cuddalore,11.52020705,79.33963565
Karipur,11.1335631,75.9485758
Mahe,11.7021978,75.5364701
Neyveli,11.535987,79.4824392
Pondicherry,10.91564885,79.8069488
Dindigul,10.42568965,77.815664
Gundlupete,11.808496,76.6916141
Mandya,12.6368939,76.72754771
Mercara,12.42149,75.7387543
Nadapuram,11.6851867,75.654366
Virajpet,12.1972711,75.8033421
Kurinji,9.83280705,76.67194697
Vettikavala,8.9888848,76.83969911
Thaloor,11.5849175,76.2542857
Vazhikkadavu,11.3687685,76.3274994
Chandanakampara,12.1100546,75.6075448
Sreekandapuram,12.0472242,75.5104585
Veliyanad,9.8695373,76.4560174
Parippally,8.8126644,76.7584102
Chennad,9.6370887,76.8182888
Cherambadi,11.516657,76.2670961
Choladi BS,11.5280995,76.2469218
Mettupalayam,11.3059363,76.9356545
Chullimanoor,8.6422703,77.0206771
Kottavasal,8.9900819,77.1638046
Coonoor,11.3459447,76.7965283
Ukkadam,10.9895218,76.9561068
Walayar,10.8467866,76.8375865
East Fort,8.4835572,76.94746062
Karukachal,9.5011646,76.638361
Puthuppally,9.5593525,76.5715284
Kaipally,10.48795505,76.14376068
Kundapura,13.6133737,74.7286856
Karavaloor,8.9807724,76.9250357
Vithura,8.67,77.085
Kattikkulam,11.8474605,76.0630926
Rajapalayam,9.4031584,77.51826437
Kunnonni,9.65467515,76.86215547
Munambam,10.1821425,76.1720475
Pallickathodu,9.603476,76.6825375
Vellarada,8.4557164,77.1953476
Poochakkal,9.8008428,76.3536554
Purapuzha,9.8634498,76.65536613
Technopark,8.55782695,76.88074374
